Date,Precipitation (in),Max Temp (F),Min Temp (F),
2016-05-09,0.00,67,47,
2016-05-10,0.00,75,46,
2016-05-11,0.00,81,50,
2016-05-12,0.00,77,51,
2016-05-13,0.00,82,54,
2016-05-14,0.00,65,54,
2016-05-15,0.00,57,54,
2016-05-16,0.00,60,52,
2016-05-17,0.00,71,53,
2016-05-18,0.00,64,52,
2016-05-19,0.22,63,49,
2016-05-20,0.00,66,51,
2016-05-21,0.04,59,52,
2016-05-22,0.00,66,53,
2016-05-23,0.00,65,53,
2016-05-24,0.00,66,57,
2016-05-25,0.00,66,54,
2016-05-26,0.00,65,53,
2016-05-27,0.02,64,50,
2016-05-28,0.03,64,50,
2016-05-29,0.00,64,52,
2016-05-30,0.00,71,49,
2016-05-31,0.00,79,54,
2016-06-01,0.00,75,59,
2016-06-02,0.00,71,59,
2016-06-03,0.00,80,57,
2016-06-04,0.00,81,63,
2016-06-05,0.00,92,65,
2016-06-06,0.00,86,65,
2016-06-07,0.00,85,59,
2016-06-08,T,67,56,
2016-06-09,0.07,65,54,
2016-06-10,T,67,51,
2016-06-11,0.10,65,52,
2016-06-12,0.00,70,56,
2016-06-13,T,66,52,
2016-06-14,0.05,60,48,
2016-06-15,0.00,67,45,
2016-06-16,0.00,71,53,
2016-06-17,0.34,67,53,
2016-06-18,0.04,65,51,
2016-06-19,0.00,70,47,
2016-06-20,0.56,76,57,
2016-06-21,0.07,73,56,
2016-06-22,T,75,56,
2016-06-23,0.36,68,55,
2016-06-24,0.13,69,53,
2016-06-25,0.00,71,57,
2016-06-26,0.00,78,56,
2016-06-27,0.00,85,61,
2016-06-28,0.00,79,56,
2016-06-29,0.00,74,57,
2016-06-30,0.00,73,57,
2016-07-01,0.00,76,57,
2016-07-02,0.00,76,58,
2016-07-03,0.00,71,58,
2016-07-04,T,68,58,
2016-07-05,T,69,57,
2016-07-06,0.00,76,58,
2016-07-07,0.07,68,60,
2016-07-08,0.18,74,59,
2016-07-09,0.02,71,58,
2016-07-10,T,74,59,
2016-07-11,M,74,58,
2016-07-12,0.00,77,60,
2016-07-13,0.00,75,58,
2016-07-14,0.00,77,58,
2016-07-15,T,76,57,
2016-07-16,T,72,59,
2016-07-17,0.00,80,60,
2016-07-18,0.00,73,62,
2016-07-19,0.00,78,61,
2016-07-20,0.00,82,62,
2016-07-21,T,81,61,
2016-07-22,0.21,71,61,
2016-07-23,0.00,75,59,
2016-07-24,0.00,80,58,
2016-07-25,0.00,85,60,
2016-07-26,0.00,79,60,
2016-07-27,0.00,83,59,
2016-07-28,0.00,85,62,
2016-07-29,0.00,88,64,
2016-07-30,0.00,76,58,
2016-07-31,0.00,73,57,
2016-08-01,0.00,77,54,
2016-08-02,T,73,58,
2016-08-03,0.00,75,60,
2016-08-04,0.00,80,58,
2016-08-05,0.00,79,59,
2016-08-06,0.00,72,55,
2016-08-07,0.03,72,59,
2016-08-08,0.00,73,58,
2016-08-09,0.00,72,60,
2016-08-10,0.00,76,60,
2016-08-11,0.00,80,60,
2016-08-12,0.00,87,62,
2016-08-13,0.00,90,65,
2016-08-14,0.00,83,60,
2016-08-15,0.00,84,61,
2016-08-16,0.00,81,58,
2016-08-17,0.00,M,M,
2016-08-18,0.00,M,M,
2016-08-19,0.00,M,M,
2016-08-20,0.00,M,M,
2016-08-21,0.00,M,M,
2016-08-22,0.00,M,M,
2016-08-23,0.00,79,54,
2016-08-24,0.00,M,M,
2016-08-25,0.00,M,M,
2016-08-26,0.00,M,M,
2016-08-27,0.00,M,M,
2016-08-28,0.00,75,59,
2016-08-29,0.00,M,M,
2016-08-30,0.00,70,57,
2016-08-31,0.00,M,M,
2016-09-01,0.00,M,M,
2016-09-02,0.00,M,M,
2016-09-03,0.00,67,55,
2016-09-04,0.00,68,53,
2016-09-05,0.00,68,55,
2016-09-06,0.00,68,55,
2016-09-07,0.02,67,57,
2016-09-08,T,72,57,
2016-09-09,0.00,74,49,
2016-09-10,0.00,77,53,
2016-09-11,0.00,70,57,
2016-09-12,0.00,74,55,
2016-09-13,0.00,75,52,
2016-09-14,0.00,79,50,
2016-09-15,0.00,71,53,
2016-09-16,T,75,51,
2016-09-17,0.09,68,58,
2016-09-18,T,69,53,
2016-09-19,0.01,71,54,
2016-09-20,0.00,67,49,
2016-09-21,0.00,68,51,
2016-09-22,0.00,67,M,
2016-09-23,T,64,53,
2016-09-24,T,67,56,
2016-09-25,0.00,76,59,
2016-09-26,0.00,77,57,
2016-09-27,T,69,57,
2016-09-28,0.00,68,54,
2016-09-29,0.00,66,50,
2016-09-30,T,67,46,
2016-10-01,0.10,63,50,
2016-10-02,0.00,65,49,
2016-10-03,0.01,61,51,
2016-10-04,0.11,63,53,
2016-10-05,0.03,66,52,
2016-10-06,0.34,63,54,
2016-10-07,0.08,64,55,
2016-10-08,0.65,68,53,
2016-10-09,0.21,57,50,
2016-10-10,0.00,60,45,
2016-10-11,0.00,62,44,
2016-10-12,0.01,66,38,
2016-10-13,1.74,60,52,
2016-10-14,1.49,60,51,
2016-10-15,0.68,62,50,
2016-10-16,0.52,60,51,
2016-10-17,0.04,60,51,
2016-10-18,0.12,61,47,
2016-10-19,0.18,58,43,
2016-10-20,1.17,62,48,
2016-10-21,0.01,59,48,
2016-10-22,0.04,62,44,
2016-10-23,0.11,62,49,
2016-10-24,0.13,61,49,
2016-10-25,0.02,65,47,
2016-10-26,1.46,58,52,
2016-10-27,0.07,60,51,
2016-10-28,0.01,65,50,
2016-10-29,0.17,M,47,
2016-10-30,0.23,M,M,
2016-10-31,0.75,59,49,
2016-11-01,0.26,57,49,
2016-11-02,0.48,57,50,
2016-11-03,0.00,65,45,
2016-11-04,T,65,42,
2016-11-05,0.94,58,52,
2016-11-06,0.21,61,49,
2016-11-07,0.05,63,50,
2016-11-08,0.00,71,48,
2016-11-09,0.19,65,51,
2016-11-10,0.00,64,47,
2016-11-11,T,63,51,
2016-11-12,0.09,59,48,
2016-11-13,0.25,55,46,
2016-11-14,0.24,57,50,
2016-11-15,1.02,55,47,
2016-11-16,T,50,44,
2016-11-17,0.00,52,38,
2016-11-18,T,55,35,
2016-11-19,0.10,57,47,
2016-11-20,0.10,55,46,
2016-11-21,0.03,54,43,
2016-11-22,0.52,54,40,
2016-11-23,0.26,49,43,
2016-11-24,1.16,52,46,
2016-11-25,0.05,52,39,
2016-11-26,0.52,53,44,
2016-11-27,0.42,48,43,
2016-11-28,0.00,52,37,
2016-11-29,0.06,52,42,
2016-11-30,0.19,52,42,
2016-12-01,0.00,46,38,
2016-12-02,0.20,50,44,
2016-12-03,0.06,49,42,
2016-12-04,0.17,46,35,
2016-12-05,0.23,40,32,
2016-12-06,0.00,42,31,
2016-12-07,0.00,40,27,
2016-12-08,0.04,41,31,
2016-12-09,0.29,36,31,
2016-12-10,0.21,44,34,
2016-12-11,0.06,44,40,
2016-12-12,0.02,43,38,
2016-12-13,0.00,40,33,
2016-12-14,0.00,39,32,
2016-12-15,0.00,39,34,
2016-12-16,0.00,35,23,
2016-12-17,0.00,35,21,
2016-12-18,0.00,39,27,
2016-12-19,0.55,46,36,
2016-12-20,0.01,51,37,
2016-12-21,0.00,49,34,
2016-12-22,0.36,45,34,
2016-12-23,0.61,40,36,
2016-12-24,T,41,35,
2016-12-25,0.00,42,32,
2016-12-26,0.39,42,33,
2016-12-27,T,47,41,
2016-12-28,0.00,48,37,
2016-12-29,0.13,48,39,
2016-12-30,0.06,57,31,
2016-12-31,T,40,31,
2017-01-01,0.16,38,31,
2017-01-02,0.00,37,25,
2017-01-03,0.00,35,27,
2017-01-04,0.00,39,23,
2017-01-05,0.00,37,19,
2017-01-06,0.00,42,18,
2017-01-07,0.00,39,25,
2017-01-08,0.56,46,34,
2017-01-09,0.06,44,34,
2017-01-10,0.10,40,32,
2017-01-11,0.00,36,26,
2017-01-12,0.00,40,21,
2017-01-13,0.00,38,23,
2017-01-14,0.00,43,23,
2017-01-15,0.00,44,23,
2017-01-16,0.00,47,28,
2017-01-17,1.52,46,40,
2017-01-18,1.21,53,44,
2017-01-19,0.13,50,38,
2017-01-20,0.00,53,33,
2017-01-21,0.04,52,39,
2017-01-22,0.12,47,36,
2017-01-23,0.00,48,32,
2017-01-24,0.00,44,29,
2017-01-25,T,44,34,
2017-01-26,0.00,48,42,
2017-01-27,0.00,54,36,
2017-01-28,0.00,54,36,
2017-01-29,T,49,35,
2017-01-30,0.00,47,42,
2017-01-31,0.01,45,33,
2017-02-01,0.00,45,29,
2017-02-02,T,47,26,
2017-02-03,0.66,40,34,
2017-02-04,0.71,46,37,
2017-02-05,0.68,41,33,
2017-02-06,0.39,39,31,
2017-02-07,T,40,30,
2017-02-08,0.76,40,36,
2017-02-09,1.55,57,40,
2017-02-10,0.06,49,41,
2017-02-11,0.01,49,36,
2017-02-12,0.00,50,33,
2017-02-13,0.00,54,34,
2017-02-14,0.23,59,32,
2017-02-15,1.65,52,46,
2017-02-16,0.46,54,47,
2017-02-17,T,56,42,
2017-02-18,0.13,46,43,
2017-02-19,0.12,48,39,
2017-02-20,0.20,46,39,
2017-02-21,0.22,48,40,
2017-02-22,0.01,47,33,
2017-02-23,0.03,45,33,
2017-02-24,T,46,32,
2017-02-25,T,45,29,
2017-02-26,0.26,43,36,
2017-02-27,0.46,43,33,
2017-02-28,T,49,31,
2017-03-01,T,50,43,
2017-03-02,0.07,49,42,
2017-03-03,0.59,51,41,
2017-03-04,0.03,46,34,
2017-03-05,0.11,46,35,
2017-03-06,T,45,35,
2017-03-07,0.46,44,36,
2017-03-08,0.03,44,38,
2017-03-09,0.53,51,39,
2017-03-10,0.02,53,44,
2017-03-11,0.28,53,41,
2017-03-12,0.02,53,45,
2017-03-13,0.51,54,48,
2017-03-14,0.36,58,49,
2017-03-15,0.71,52,45,
2017-03-16,0.00,54,40,
2017-03-17,0.77,49,37,
2017-03-18,0.47,57,36,
2017-03-19,0.00,53,32,
2017-03-20,T,53,40,
2017-03-21,0.17,57,46,
2017-03-22,T,57,44,
2017-03-23,0.25,58,40,
2017-03-24,0.45,57,45,
2017-03-25,0.01,53,44,
2017-03-26,0.31,50,44,
2017-03-27,0.08,55,44,
2017-03-28,0.08,54,45,
2017-03-29,0.41,56,46,
2017-03-30,0.01,55,43,
2017-03-31,0.00,56,38,
2017-04-01,0.06,57,47,
2017-04-02,0.05,55,41,
2017-04-03,0.00,54,40,
2017-04-04,0.09,62,44,
2017-04-05,0.51,55,49,
2017-04-06,0.27,60,48,
2017-04-07,0.37,60,47,
2017-04-08,0.06,52,40,
2017-04-09,0.01,56,36,
2017-04-10,0.35,54,40,
2017-04-11,0.01,56,37,
2017-04-12,0.87,60,47,
2017-04-13,0.13,55,43,
2017-04-14,0.02,52,41,
2017-04-15,0.00,58,41,
2017-04-16,0.00,66,43,
2017-04-17,0.06,61,51,
2017-04-18,0.22,61,47,
2017-04-19,0.38,57,45,
2017-04-20,T,60,45,
2017-04-21,0.00,66,43,
2017-04-22,0.13,63,47,
2017-04-23,0.21,54,45,
2017-04-24,0.02,58,45,
2017-04-25,0.01,56,48,
2017-04-26,0.04,59,46,
2017-04-27,0.02,58,43,
2017-04-28,0.06,60,44,
2017-04-29,0.06,58,43,
2017-04-30,0.05,58,47,
2017-05-01,0.07,51,46,
2017-05-02,0.13,63,44,
2017-05-03,0.19,76,56,
2017-05-04,0.36,75,54,
2017-05-05,0.19,61,49,
2017-05-06,0.43,59,42,
2017-05-07,0.00,62,46,
2017-05-08,0.00,65,46,
2017-05-09,0.00,70,46,
2017-05-10,0.00,72,52,
2017-05-11,0.38,61,46,
2017-05-12,0.19,56,43,
2017-05-13,0.08,58,46,
2017-05-14,0.01,59,48,
2017-05-15,0.28,53,45,
2017-05-16,0.14,54,44,
2017-05-17,0.00,60,47,
2017-05-18,0.00,65,48,
2017-05-19,0.00,72,52,
2017-05-20,0.00,72,56,
2017-05-21,0.00,75,53,
2017-05-22,0.00,81,57,
2017-05-23,0.00,80,52,
2017-05-24,0.00,63,48,
2017-05-25,0.00,70,47,
2017-05-26,0.00,79,53,
2017-05-27,0.00,84,55,
2017-05-28,0.00,82,58,
2017-05-29,0.00,74,53,
2017-05-30,T,59,53,
2017-05-31,0.05,72,53,
2017-06-01,T,69,57,
