SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,1500,2,XEV,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,6,652,0.6,3.7,0.3,2,8.6
241,156,1500,2,XNT,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,4,434,0.4,1.7,0.2,0.7,6.6
241,156,1510,3,AM,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,13,1408,1,13.3,0.6,8.2,15.8
241,156,1510,3,MID,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,24,2573,1.4,34.6,2.1,49.2,15
241,156,1510,3,PM,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,16,1720,1.1,17.8,1.7,27.3,12.6
241,156,1510,3,XEV,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,6,653,0.6,3.6,0.6,3.6,8.5
241,156,1510,3,XNT,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,4,434,0.3,1.1,0.4,1.6,6.5
241,156,1530,4,AM,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,16,1733,2.4,38,3,48.6,12.2
241,156,1530,4,MID,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,24,2576,3,72.9,4.5,107.4,13.5
241,156,1530,4,PM,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,17,1834,3.3,55.8,4,67.3,11.2
241,156,1530,4,XEV,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,6,655,3.1,18.5,2.2,12.9,9.4
241,156,1530,4,XNT,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,4,434,2.1,8.5,1.7,6.6,7
241,156,1610,5,AM,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,16,1734,1,15.5,1.2,19.5,11.9
241,156,1610,5,MID,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,24,2571,1.1,26,1.5,35,13.1
241,156,1610,5,PM,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,17,1836,1.3,22.6,1.3,21.5,11.2
241,156,1610,5,XEV,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,6,656,1.2,6.9,1,5.9,9.5
241,156,1610,5,XNT,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,4,434,1.2,4.6,0.8,3.3,7.3
241,156,538,6,AM,1,L,O,3rd Ave,Columbia St,NS,N,SEA,16,1730,0.5,8.4,2.1,33.2,10.4
241,156,538,6,MID,1,L,O,3rd Ave,Columbia St,NS,N,SEA,24,2576,1,24,1.6,37.3,12.5
241,156,538,6,PM,1,L,O,3rd Ave,Columbia St,NS,N,SEA,17,1836,1.8,31.4,1.2,20.5,11.9
241,156,538,6,XEV,1,L,O,3rd Ave,Columbia St,NS,N,SEA,6,656,0.8,4.5,1,5.8,9.3
241,156,538,6,XNT,1,L,O,3rd Ave,Columbia St,NS,N,SEA,4,434,0.7,2.7,0.9,3.6,7.1
241,156,558,7,XEV,1,L,O,3rd Ave,Seneca St,NS,N,SEA,6,655,1.6,9.6,0.7,4,10.3
241,156,558,7,XNT,1,L,O,3rd Ave,Seneca St,NS,N,SEA,4,433,1.2,4.8,0.6,2.4,7.7
241,156,558,7,AM,1,L,O,3rd Ave,Seneca St,NS,N,SEA,15,1620,1.3,20.1,2,29.4,9.6
241,156,558,7,MID,1,L,O,3rd Ave,Seneca St,NS,N,SEA,24,2574,1.4,32.9,1.4,34.6,12.5
241,156,558,7,PM,1,L,O,3rd Ave,Seneca St,NS,N,SEA,18,1943,3,54,0.8,15,14.1
241,156,575,8,AM,1,L,O,3rd Ave,Pike St,NS,N,SEA,15,1621,1.4,21.7,2.2,33.7,8.8
241,156,575,8,MID,1,L,O,3rd Ave,Pike St,NS,N,SEA,24,2576,3.2,76.4,4.5,107.1,11.2
241,156,575,8,PM,1,L,O,3rd Ave,Pike St,NS,N,SEA,17,1832,4.4,74.6,3.7,62.6,15.1
241,156,575,8,XEV,1,L,O,3rd Ave,Pike St,NS,N,SEA,7,765,2.9,20,2.5,17.4,10.5
241,156,575,8,XNT,1,L,O,3rd Ave,Pike St,NS,N,SEA,4,433,2.2,8.9,2.1,8.2,7.8
241,156,600,9,AM,1,L,O,3rd Ave,Virginia St,FS,N,SEA,15,1624,1.3,19,1.9,28.5,8.1
241,156,600,9,MID,1,L,O,3rd Ave,Virginia St,FS,N,SEA,24,2580,1.8,42.3,2.4,57.5,10.5
241,156,600,9,PM,1,L,O,3rd Ave,Virginia St,FS,N,SEA,17,1834,3,51.1,1.7,28.1,16.4
241,156,600,9,XEV,1,L,O,3rd Ave,Virginia St,FS,N,SEA,7,765,2.1,14.6,1.4,9.9,11.2
241,156,600,9,XNT,1,L,O,3rd Ave,Virginia St,FS,N,SEA,4,434,1.7,6.9,1.2,4.9,8.4
241,156,605,10,AM,1,L,O,3rd Ave,Bell St,FS,N,SEA,15,1622,0.5,7.4,1.1,16.3,7.5
241,156,605,10,MID,1,L,O,3rd Ave,Bell St,FS,N,SEA,24,2580,1.1,25.7,1.8,42.1,9.9
241,156,605,10,PM,1,L,O,3rd Ave,Bell St,FS,N,SEA,17,1836,1.8,29.8,1.8,30.7,16.4
241,156,605,10,XEV,1,L,O,3rd Ave,Bell St,FS,N,SEA,7,765,1.5,10.2,1.4,9.7,11.3
241,156,605,10,XNT,1,L,O,3rd Ave,Bell St,FS,N,SEA,4,433,1.4,5.4,0.9,3.6,8.8
241,156,1690,11,AM,1,L,O,3rd Ave,Vine St,FS,N,SEA,15,1623,0.2,2.5,1.8,26.9,5.9
241,156,1690,11,MID,1,L,O,3rd Ave,Vine St,FS,N,SEA,24,2578,0.5,12.1,1.8,42.6,8.6
241,156,1690,11,PM,1,L,O,3rd Ave,Vine St,FS,N,SEA,17,1836,0.6,10.7,1.9,32.1,15.1
241,156,1690,11,XEV,1,L,O,3rd Ave,Vine St,FS,N,SEA,7,765,0.5,3.5,1.7,11.6,10.1
241,156,1690,11,XNT,1,L,O,3rd Ave,Vine St,FS,N,SEA,4,434,0.3,1.2,1.1,4.5,8
241,156,2320,12,AM,1,L,O,1st Ave,Broad St,FS,N,SEA,15,1621,0,0.3,0.7,10.3,5.2
241,156,2320,12,MID,1,L,O,1st Ave,Broad St,FS,N,SEA,24,2579,0.1,3.2,1,24.7,7.7
241,156,2320,12,PM,1,L,O,1st Ave,Broad St,FS,N,SEA,17,1836,0.3,4.5,1.5,26.1,13.9
241,156,2320,12,XEV,1,L,O,1st Ave,Broad St,FS,N,SEA,7,764,0.2,1.6,1.1,7.4,9.3
241,156,2320,12,XNT,1,L,O,1st Ave,Broad St,FS,N,SEA,4,434,0.1,0.4,0.9,3.4,7.2
241,156,2330,13,AM,1,L,O,1st Ave N,Denny Way,FS,N,SEA,15,1624,0.1,1.6,1.5,22,3.9
241,156,2330,13,MID,1,L,O,1st Ave N,Denny Way,FS,N,SEA,24,2578,0.3,8.3,1,24.4,7
